"";"date";"tag";"time";"article_name";"main";"article_id"
"142";"2015-02-06";"Pøíliv uprchlíkù do Evropy";"20:50";"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";1;"A150206_081152_zahranicni_ert"
"143";"2015-02-06";"Svìt";"20:50";"Calais je zaplaveno uprchlíky. Touží po Británii, místní mají strach";0;"A150206_081152_zahranicni_ert"
"2118";"2015-02-11";"Pøíliv uprchlíkù do Evropy";"10:44";"U Libye ztroskotaly lodi s uprchlíky, zahynulo až 300 lidí";1;"A150211_104333_zahranicni_vez"
"2119";"2015-02-11";"Krimi / Èerná kronika ";"10:44";"U Libye ztroskotaly lodi s uprchlíky, zahynulo až 300 lidí";0;"A150211_104333_zahranicni_vez"
"2120";"2015-02-11";"Pobøežní hlídka";"10:44";"U Libye ztroskotaly lodi s uprchlíky, zahynulo až 300 lidí";0;"A150211_104333_zahranicni_vez"
"2121";"2015-02-11";"Svìt";"10:44";"U Libye ztroskotaly lodi s uprchlíky, zahynulo až 300 lidí";0;"A150211_104333_zahranicni_vez"
"2358";"2015-02-11";"Pøíliv uprchlíkù do Evropy";"22:00";"Uprchlíci se zdokonalují, zdolali nezdolatelný plot na hranici Evropy";1;"A150211_215138_zahranicni_aha"
