"";"date";"tag";"time";"article_name";"main";"article_id"
"715";"2015-01-12";"Pro a proti";"11:48";"PRO A PROTI: Mìlo by Èesko pøijmout uprchlíky ze Sýrie?";1;"A150107_135359_domaci_fer"
"716";"2015-01-12";"Pøíliv uprchlíkù do Evropy";"11:48";"PRO A PROTI: Mìlo by Èesko pøijmout uprchlíky ze Sýrie?";1;"A150107_135359_domaci_fer"
"717";"2015-01-12";"Obèanská válka v Sýrii";"11:48";"PRO A PROTI: Mìlo by Èesko pøijmout uprchlíky ze Sýrie?";0;"A150107_135359_domaci_fer"
"1052";"2015-01-05";"Pøíliv uprchlíkù do Evropy";"20:08";"Vlna uprchlíkù dorazila do Maïarska, další cesta vede i pøes Èesko";1;"A150105_143458_zahranicni_ert"
"1053";"2015-01-05";"Svìt";"20:08";"Vlna uprchlíkù dorazila do Maïarska, další cesta vede i pøes Èesko";0;"A150105_143458_zahranicni_ert"
"1054";"2015-01-05";"Válka";"20:08";"Vlna uprchlíkù dorazila do Maïarska, další cesta vede i pøes Èesko";0;"A150105_143458_zahranicni_ert"
"1055";"2015-01-05";"Viktor Orbán";"20:08";"Vlna uprchlíkù dorazila do Maïarska, další cesta vede i pøes Èesko";0;"A150105_143458_zahranicni_ert"
