"";"category";"commenting_person_id";"positive_reaction";"comment_id";"time";"date";"article_id";"reacting_person_id"
"129285";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";60246
"129286";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";22931
"129287";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";42343
"129288";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";9051
"129289";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";87246
"129290";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";69531
"129291";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";63469
"129292";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";82621
"129293";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";68938
"129294";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";57510
"129295";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";94691
"129296";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";65667
"129297";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129298";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";76644
"129299";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129300";"zahranicni";70302;1;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";90212
"129301";"zahranicni";70302;0;70978446;"15:15";"3.3.2015";"A150303_112658_zahranicni_ert";19690
"129302";"zahranicni";99976;1;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";12012
"129303";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";83623
"129304";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";76558
"129305";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";63469
"129306";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";80461
"129307";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";76652
"129308";"zahranicni";99976;0;70978916;"15:38";"3.3.2015";"A150303_112658_zahranicni_ert";79486
"129309";"zahranicni";57473;0;70979609;"16:19";"3.3.2015";"A150303_112658_zahranicni_ert";73230
"129310";"zahranicni";57473;0;70979609;"16:19";"3.3.2015";"A150303_112658_zahranicni_ert";63469
"129311";"zahranicni";7187;1;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";83742
"129312";"zahranicni";7187;1;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";23396
"129313";"zahranicni";7187;1;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";79237
"129314";"zahranicni";7187;1;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129315";"zahranicni";7187;0;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";2086
"129316";"zahranicni";7187;0;70980728;"17:25";"3.3.2015";"A150303_112658_zahranicni_ert";53557
"129317";"zahranicni";45105;1;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";35572
"129318";"zahranicni";45105;1;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";38879
"129319";"zahranicni";45105;1;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";53557
"129320";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";85679
"129321";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";46285
"129322";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129323";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";32461
"129324";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";52660
"129325";"zahranicni";45105;0;70980732;"17:26";"3.3.2015";"A150303_112658_zahranicni_ert";67452
"129326";"zahranicni";38631;1;70981363;"18:04";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129327";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";77515
"129328";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";92177
"129329";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";22931
"129330";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";14529
"129331";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";9412
"129332";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";2314
"129333";"zahranicni";22647;1;70981409;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";23239
"129334";"zahranicni";68401;0;70981413;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";57386
"129335";"zahranicni";68401;0;70981413;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129336";"zahranicni";68401;0;70981413;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";23239
"129337";"zahranicni";68401;0;70981413;"18:06";"3.3.2015";"A150303_112658_zahranicni_ert";52666
"129338";"zahranicni";14529;1;70981461;"18:10";"3.3.2015";"A150303_112658_zahranicni_ert";2494
"129339";"zahranicni";14529;1;70981461;"18:10";"3.3.2015";"A150303_112658_zahranicni_ert";62226
"129340";"zahranicni";14529;1;70981461;"18:10";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129341";"zahranicni";14529;1;70981461;"18:10";"3.3.2015";"A150303_112658_zahranicni_ert";69119
"129342";"zahranicni";32426;1;70981523;"18:15";"3.3.2015";"A150303_112658_zahranicni_ert";94384
"129343";"zahranicni";32426;1;70981523;"18:15";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129344";"zahranicni";4659;1;70981981;"18:39";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129345";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";58243
"129346";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";62226
"129347";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";47697
"129348";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";41658
"129349";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";23239
"129350";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";52666
"129351";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";32711
"129352";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129353";"zahranicni";41560;1;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";76573
"129354";"zahranicni";41560;0;70982022;"18:40";"3.3.2015";"A150303_112658_zahranicni_ert";45551
"129355";"zahranicni";5999;1;70982172;"18:49";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129356";"zahranicni";28721;1;70980411;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129357";"zahranicni";28721;1;70980411;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";22888
"129358";"zahranicni";28721;0;70980411;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";91507
"129359";"zahranicni";74103;1;70980415;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129360";"zahranicni";74103;0;70980415;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129361";"zahranicni";85201;1;70980416;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129362";"zahranicni";85201;1;70980416;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129363";"zahranicni";85201;1;70980416;"17:07";"3.3.2015";"A150303_112658_zahranicni_ert";40552
"129364";"zahranicni";91507;0;70980446;"17:09";"3.3.2015";"A150303_112658_zahranicni_ert";2086
"129365";"zahranicni";91507;0;70980446;"17:09";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129366";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";91507
"129367";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129368";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";34407
"129369";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";77002
"129370";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";92401
"129371";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";10677
"129372";"zahranicni";28273;0;70980457;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";22910
"129373";"zahranicni";76573;1;70980463;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129374";"zahranicni";91507;1;70980468;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129375";"zahranicni";34407;1;70980471;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129376";"zahranicni";34407;0;70980471;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";91507
"129377";"zahranicni";34407;0;70980471;"17:10";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129378";"zahranicni";77002;1;70980480;"17:11";"3.3.2015";"A150303_112658_zahranicni_ert";45105
"129379";"zahranicni";77002;1;70980480;"17:11";"3.3.2015";"A150303_112658_zahranicni_ert";94384
"129380";"zahranicni";77002;1;70980480;"17:11";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129381";"zahranicni";74103;1;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129382";"zahranicni";74103;1;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";40651
"129383";"zahranicni";74103;1;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129384";"zahranicni";74103;0;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";45105
"129385";"zahranicni";74103;0;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";91507
"129386";"zahranicni";74103;0;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129387";"zahranicni";74103;0;70980490;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";10677
"129388";"zahranicni";11630;1;70980502;"17:12";"3.3.2015";"A150303_112658_zahranicni_ert";60604
"129389";"zahranicni";39265;0;70980509;"17:13";"3.3.2015";"A150303_112658_zahranicni_ert";74103
"129390";"zahranicni";39265;0;70980509;"17:13";"3.3.2015";"A150303_112658_zahranicni_ert";22910
"129391";"zahranicni";24251;1;70980519;"17:13";"3.3.2015";"A150303_112658_zahranicni_ert";40552
"129392";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";68780
"129393";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";77515
"129394";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";88445
"129395";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";53454
"129396";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";94384
"129397";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";37611
"129398";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";62226
"129399";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";57510
"129400";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";23239
"129401";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";94691
"129402";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";85305
"129403";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";75125
"129404";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129405";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";69119
"129406";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";18013
"129407";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129408";"zahranicni";72695;1;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129409";"zahranicni";72695;0;70982287;"18:56";"3.3.2015";"A150303_112658_zahranicni_ert";92177
"129410";"zahranicni";21510;1;70980531;"17:14";"3.3.2015";"A150303_112658_zahranicni_ert";2086
"129411";"zahranicni";60604;1;70980533;"17:14";"3.3.2015";"A150303_112658_zahranicni_ert";34407
"129412";"zahranicni";48650;1;70980534;"17:14";"3.3.2015";"A150303_112658_zahranicni_ert";94691
"129413";"zahranicni";40016;1;70980543;"17:15";"3.3.2015";"A150303_112658_zahranicni_ert";83742
"129414";"zahranicni";40016;1;70980543;"17:15";"3.3.2015";"A150303_112658_zahranicni_ert";92401
"129415";"zahranicni";40016;1;70980543;"17:15";"3.3.2015";"A150303_112658_zahranicni_ert";40552
"129416";"zahranicni";40016;1;70980543;"17:15";"3.3.2015";"A150303_112658_zahranicni_ert";4163
"129417";"zahranicni";11630;1;70980546;"17:15";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129418";"zahranicni";45105;1;70980567;"17:16";"3.3.2015";"A150303_112658_zahranicni_ert";11177
"129419";"zahranicni";45105;1;70980567;"17:16";"3.3.2015";"A150303_112658_zahranicni_ert";35572
"129420";"zahranicni";77002;1;70980575;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";45105
"129421";"zahranicni";77002;1;70980575;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129422";"zahranicni";77002;1;70980575;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";10677
"129423";"zahranicni";77002;0;70980575;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";40651
"129424";"zahranicni";22910;1;70980576;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";74009
"129425";"zahranicni";22910;1;70980576;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";83742
"129426";"zahranicni";24251;1;70980598;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";75822
"129427";"zahranicni";24251;1;70980598;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129428";"zahranicni";76573;1;70980601;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";39265
"129429";"zahranicni";76573;1;70980601;"17:17";"3.3.2015";"A150303_112658_zahranicni_ert";5999
"129430";"zahranicni";34097;1;70980606;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129431";"zahranicni";34097;1;70980606;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";6554
"129432";"zahranicni";34097;0;70980606;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";32426
"129433";"zahranicni";34097;0;70980606;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";27320
"129434";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";74009
"129435";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";83742
"129436";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";61394
"129437";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";2459
"129438";"zahranicni";58567;1;70980611;"17:18";"3.3.2015";"A150303_112658_zahranicni_ert";26927
