"";"date";"tag";"time";"article_name";"main";"article_id"
"610";"2015-03-12";"Pøíliv uprchlíkù do Evropy";"17:45";"Èesko kvùli migrantùm z Kosova muselo posílit zaøízení pro uprchlíky";1;"A150312_174532_domaci_neh"
"1492";"2015-03-03";"Islámský stát";"15:09";"Druhé 11. záøí a 500 tisíc uprchlíkù. Kaddáfího bratranec varuje Evropu";1;"A150303_112658_zahranicni_ert"
"1493";"2015-03-03";"Pøíliv uprchlíkù do Evropy";"15:09";"Druhé 11. záøí a 500 tisíc uprchlíkù. Kaddáfího bratranec varuje Evropu";1;"A150303_112658_zahranicni_ert"
"1494";"2015-03-03";"Islámský stát";"15:09";"Druhé 11. záøí a 500 tisíc uprchlíkù. Kaddáfího bratranec varuje Evropu";0;"A150303_112658_zahranicni_ert"
"1495";"2015-03-03";"Terorismus";"15:09";"Druhé 11. záøí a 500 tisíc uprchlíkù. Kaddáfího bratranec varuje Evropu";0;"A150303_112658_zahranicni_ert"
