"";"date";"tag";"time";"article_name";"main";"article_id"
"2467";"2015-05-17";"Terorismus, teroristické útoky";"11:18";"Islamisté pronikají do Evropy. Plují na uprchlických lodích, tvrdí Libye";0;"A150517_111220_zahranicni_ert"
"2655";"2015-05-16";"Pøíliv uprchlíkù do Evropy";"17:11";"Nový život a nìco na nohy. Uprchlíci dostávají „znaèkové“ boty zdarma";1;"A150516_132843_zahranicni_ert"
"2660";"2015-05-16";"Pøíliv uprchlíkù do Evropy";"20:28";"Francie nesouhlasí s kvótami pro uprchlíky, prohlásil premiér Valls";1;"A150516_205324_zahranicni_fer"
"2661";"2015-05-16";"Evropská komise";"20:28";"Francie nesouhlasí s kvótami pro uprchlíky, prohlásil premiér Valls";0;"A150516_205324_zahranicni_fer"
"2736";"2015-05-15";"Pøíliv uprchlíkù do Evropy";"13:52";"Nejasné kvóty: ÈR mùže øešit tisíce žádostí o azyl, naznaèují loòská èísla";1;"A150515_124340_zahranicni_aba"
"2737";"2015-05-15";"Eurostat";"13:52";"Nejasné kvóty: ÈR mùže øešit tisíce žádostí o azyl, naznaèují loòská èísla";0;"A150515_124340_zahranicni_aba"
"2738";"2015-05-15";"Evropská komise";"13:52";"Nejasné kvóty: ÈR mùže øešit tisíce žádostí o azyl, naznaèují loòská èísla";0;"A150515_124340_zahranicni_aba"
"2739";"2015-05-15";"Evropská unie";"13:52";"Nejasné kvóty: ÈR mùže øešit tisíce žádostí o azyl, naznaèují loòská èísla";0;"A150515_124340_zahranicni_aba"
"2815";"2015-05-27";"Pøíliv uprchlíkù do Evropy";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";1;"A150527_115646_zahranicni_ert"
"2816";"2015-05-27";"Evropa";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";0;"A150527_115646_zahranicni_ert"
"2817";"2015-05-27";"Evropská komise";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";0;"A150527_115646_zahranicni_ert"
"2818";"2015-05-27";"Svìt";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";0;"A150527_115646_zahranicni_ert"
"2819";"2015-05-27";"Terorismus";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";0;"A150527_115646_zahranicni_ert"
"2820";"2015-05-27";"Terorismus, teroristické útoky";"12:43";"Do Èeska má pøijít pøes tisíc Syøanù a Eritrejcù, plánuje EU";0;"A150527_115646_zahranicni_ert"
"2835";"2015-05-27";"Evropská unie";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";1;"A150525_173137_domaci_fer"
"2836";"2015-05-27";"Pro a proti";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";1;"A150525_173137_domaci_fer"
"2837";"2015-05-27";"Pøíliv uprchlíkù do Evropy";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";1;"A150525_173137_domaci_fer"
"2838";"2015-05-27";"Evropská komise";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
"2839";"2015-05-27";"Evropská unie";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
"2840";"2015-05-27";"HDP";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
"2841";"2015-05-27";"Jan Ruml";"07:18";"PRO A PROTI: Mají existovat kvóty pro migranty?";0;"A150525_173137_domaci_fer"
